HomeTeam|AwayTeam|RollingAvg_Home_HS|RollingAvg_Home_HST|RollingAvg_Home_HF|RollingAvg_Home_HC|RollingAvg_Away_AS|RollingAvg_Away_AST|RollingAvg_Away_AF|RollingAvg_Away_AC|HomeTeam_Form|AwayTeam_Form|B365H|B365D|B365A|FTR
Fiorentina|Lazio|13.666666666666666|6.0|11.666666666666666|5.333333333333333|18.5|5.5|12.5|11.5|0.6|1.4|2.25|3.4|3.2|H
Monza|Bologna|6.666666666666667|2.3333333333333335|12.333333333333334|3.6666666666666665|12.666666666666666|4.666666666666667|15.0|3.3333333333333335|0.6|0.6|3.3|3.1|2.4|A
Roma|Udinese|15.5|6.0|12.5|5.0|10.333333333333334|3.6666666666666665|14.0|4.0|0.6|2.0|1.62|4.2|5.25|H
Inter|Milan|12.333333333333334|4.0|9.333333333333334|6.333333333333333|14.333333333333334|5.666666666666667|8.666666666666666|6.0|1.6|1.0|1.65|4.0|5.25|A
Atalanta|Como|10.5|6.0|14.0|5.0|12.25|4.0|10.5|3.5|1.2|0.4|1.44|4.5|7.0|A
Milan|Lecce|15.666666666666666|6.666666666666667|9.0|6.333333333333333|15.333333333333334|5.666666666666667|11.0|6.666666666666667|1.6|1.0|1.33|5.75|8.0|H
Udinese|Inter|9.333333333333334|3.0|14.666666666666666|5.0|15.333333333333334|6.0|13.0|5.0|2.0|1.6|7.0|4.33|1.48|A
Genoa|Juventus|12.0|4.25|10.0|3.25|11.333333333333334|3.6666666666666665|10.666666666666666|4.0|1.0|1.8|5.5|3.5|1.7|A
Bologna|Atalanta|13.666666666666666|3.6666666666666665|15.333333333333334|5.0|17.0|5.0|16.0|5.5|1.2|1.2|3.0|3.3|2.4|D
Torino|Lazio|10.0|4.333333333333333|10.333333333333334|3.0|16.666666666666668|6.0|12.666666666666666|8.0|2.2|1.4|2.9|3.1|2.55|A
Como|Verona|19.0|7.5|13.5|6.5|7.666666666666667|2.6666666666666665|15.0|2.6666666666666665|1.0|1.2|2.1|3.4|3.6|H
Roma|Venezia|17.666666666666668|5.666666666666667|11.0|5.333333333333333|10.5|3.75|13.75|2.5|1.2|0.8|1.4|4.75|8.0|H
Empoli|Fiorentina|8.333333333333334|1.6666666666666667|14.0|4.333333333333333|13.333333333333334|4.0|12.0|5.0|1.8|1.2|3.4|3.3|2.2|D
